group_id,source_path,target_path,repo,reason,risk,coupling_class,imports_count,imported_by_count,external_importers_count,external_imports_count,runtime_critical,import_rewrite
G001-D,LeeWay-Edge-Integrated/gpu/rtc/discovery.broadcast.js,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/gpu/rtc/gpu.rtc.bridge.js,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,2,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/Dockerfile,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/index.html,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/nginx.conf,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/package-lock.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/package.json,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/App.module.css,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/App.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,1,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/CommandCenter.module.css,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/CommandCenter.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,1,0,3,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/index.css,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/main.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/RemoteAudio.tsx,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/clients/web-demo/src/useWebRTC.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
