repo,source_path,current_owner,correct_owner,target_path,reason,import_rewrite,risk,approved,category,dependency_depth,import_refs
agent-lee-agentic-os,**/runtime/**,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/runtime,projection owning runtime,true,high,false,Runtime Misplacement,wildcard,-1
LeeWay-Agents-the-World-Within,**/runtime/**,LeeWay-Agents-the-World-Within,Integrated,LeeWay-Edge-Integrated/runtime,projection owning runtime,true,high,false,Runtime Misplacement,wildcard,-1
LeeWay-Edge-Integrated,**/transport/**,LeeWay-Edge-Integrated,RTC,LeeWay-Edge-RTC-main/src/transport,transport misplaced,true,high,false,Communication Misplacement,wildcard,-1
LeeWay-Edge-Integrated,**/gpu/**,LeeWay-Edge-Integrated,GPU,LeewayEdgeWebGPU/gpu,compute misplaced,true,high,false,Compute Misplacement,wildcard,-1
*,**/GovernanceContract.*,*,Standards,LeeWay-Standards/packages/standards/policy,law duplication,true,high,false,Governance Duplication,wildcard,-1
*,**/IntentSanitizer.*,*,Standards,LeeWay-Standards/packages/standards/validators,law duplication,true,high,false,Governance Duplication,wildcard,-1
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLee.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,3
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeCameraPopup.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,low,2
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeCodeStudio.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,17
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeCreatorsStudio.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,5
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeForm.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,9
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeLaunchPad.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,9
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentleeMic.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,7
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeePermissions-Loading.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,4
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeWidget.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,7
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentLeeWorkstation.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,4
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentTeamPanel.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,3
agent-lee-agentic-os,agent-lee-agentic-os/components/AgentVM.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,9
agent-lee-agentic-os,agent-lee-agentic-os/components/AuthGate.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,low,2
agent-lee-agentic-os,agent-lee-agentic-os/components/ChatConsole.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,4
agent-lee-agentic-os,agent-lee-agentic-os/components/ChatInterface.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,3
agent-lee-agentic-os,agent-lee-agentic-os/components/DatabaseHub.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,8
agent-lee-agentic-os,agent-lee-agentic-os/components/Diagnostics.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,11
agent-lee-agentic-os,agent-lee-agentic-os/components/firebase.ts,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,3
agent-lee-agentic-os,agent-lee-agentic-os/components/FloatingChat.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,3
agent-lee-agentic-os,agent-lee-agentic-os/components/Home.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,medium,6
agent-lee-agentic-os,agent-lee-agentic-os/components/Layout.tsx,agent-lee-agentic-os,Integrated,LeeWay-Edge-Integrated/app,ui shell outside integrated,true,high,false,Shell/UI Misplacement,high,12
