repo,source_path,current_role,correct_owner,action,target_path,risk,reason,import_rewrite,approved
*,**/node_modules/**,env,External,EXTERNALIZE,,low,dependency cache,false,false
*,**/.venv/**,env,External,EXTERNALIZE,,low,virtual environment,false,false
*,**/dist/**,build,External,EXTERNALIZE,,low,build output,false,false
*,**/*.gguf,binary,External,EXTERNALIZE,,high,model artifact,false,false
*,**/*.safetensors,binary,External,EXTERNALIZE,,high,model artifact,false,false
agent-lee-agentic-os,**/runtime/**,runtime,Integrated,MOVE,LeeWay-Edge-Integrated/runtime,high,projection owning runtime,true,false
LeeWay-Agents-the-World-Within,**/runtime/**,runtime,Integrated,MOVE,LeeWay-Edge-Integrated/runtime,high,projection owning runtime,true,false
LeeWay-Edge-Integrated,**/transport/**,rtc,RTC,MOVE,LeeWay-Edge-RTC-main/src/transport,high,transport misplaced,true,false
*,**/GovernanceContract.*,governance,Standards,MOVE,LeeWay-Standards/packages/standards/policy,high,law duplication,true,false
*,**/IntentSanitizer.*,governance,Standards,MOVE,LeeWay-Standards/packages/standards/validators,high,law duplication,true,false
LeeWay-Standards,LeeWay-Standards/components/AgentNotepad.tsx,ui,Integrated,MOVE,LeeWay-Edge-Integrated/app,high,ui shell outside integrated,true,false
LeeWay-Standards,LeeWay-Standards/components/css.d.ts,ui,Integrated,MOVE,LeeWay-Edge-Integrated/app,high,ui shell outside integrated,true,false
LeeWay-Standards,LeeWay-Standards/components/vite-env.d.ts,ui,Integrated,MOVE,LeeWay-Edge-Integrated/app,high,ui shell outside integrated,true,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/cycle-runner.err.log,placeholder,External,QUARANTINE,,low,dead placeholder file,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/cycle-runner.err.log,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/cycle-runner.out.log,placeholder,External,QUARANTINE,,low,dead placeholder file,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/cycle-runner.out.log,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
LeeWay-Standards,LeeWay-Standards/Docs/refactor/group-resolution/G001-A.csv,unknown,External,QUARANTINE,,medium,unknown ownership fallback,false,false
