"reason","Count"
"orphaned file","494"
"unknown ownership fallback","170"
"duplicate across repos canonical LeeWay-Edge-Integrated","81"
"broken import path ../core/EventBus","55"
"broken import path ../core/agent_lee_prompt_assembler","34"
"broken import path ./types.js","30"
"broken import path ../core/LeewayInferenceClient","29"
"broken import path ../core/ReportWriter","28"
"broken import path ../logger.js","21"
"nested repo copy detected","12"
"broken import path ../sdk/paths.js","9"
"broken import path ../metrics.js","8"
"broken import path ../mediasoup/room.js","8"
"broken import path ./config.js","7"
"broken import path ../L9_Integrity_Sentinel/probe.analyzer","7"
"broken import path ../contracts/agent-contracts.js","6"
"broken import path ../config.js","6"
"broken import path ../lib/path-guard.js","6"
"broken import path ./runtime.js","6"
"broken import path ./logger.js","6"
"broken import path ../L1_Governance_BIOS/identity.bios","5"
"broken import path ../sdk/index.js","4"
"broken import path ./agents/registry.js","4"
"broken import path ../core/TaskGraph","4"
"broken import path ./bus.js","4"
"broken import path ./paths.js","4"
"broken import path ../core/ReportIndex","4"
"broken import path ../core/LLMProvider","4"
"broken import path ./governance.js","4"
"broken import path ../../../LeeWay-Standards/src/core/header-parser.js","4"
"broken import path ../core/GovernanceContract","4"
"broken import path ../core/AgentRouter","4"
"broken import path ../contracts/intent-router-map.js","4"
"broken import path ./capability-vocab.js","3"
"broken import path ./policy.engine","3"
"broken import path ../../shared/env.js","3"
"broken import path ./core/eventBus","3"
"broken import path ../L3_Persistence_Memory/database.hub","3"
"broken import path ./creator.authority","3"
"broken import path ./governance-guard.js","2"
"broken import path ./stats-worker.js","2"
"broken import path ./examples/example-agent.js","2"
"broken import path ./eventBus","2"
"broken import path ./tools/build-context-packet.js","2"
"broken import path ./DatabaseHub","2"
"broken import path ./governor.js","2"
"broken import path ./core/rtc.sovereign.node","2"
"broken import path ./tools/compress-session.js","2"
"broken import path ./tools/fetch-related-episodes.js","2"
"broken import path ./repair.js","2"
"broken import path ./Diagnostics","2"
"broken import path ./src/runtime/core/SovereignRuntime","2"
"broken import path ./shaders/tensor_matmul.wgsl","2"
"broken import path ./signaling/handler.js","2"
"broken import path ./recovery.engine","2"
"broken import path ./recall-context.js","2"
"broken import path ./Sage","2"
"broken import path ./Pallium","2"
"broken import path ./scaler.js","2"
"broken import path ./observer.js","2"
"broken import path ./nexus.js","2"
"broken import path ./metrics.js","2"
"broken import path ./mediasoup/worker.js","2"
"broken import path ./mediasoup/room.js","2"
"broken import path ./lib/session-store.js","2"
"broken import path ./sentinel.js","2"
"broken import path ./LeeWayUniverse","2"
"broken import path ./server.js","2"
"broken import path ./CommandCenter.module.css","2"
"broken import path ./src/runtime/core/PerceptionBus","2"
"broken import path ../core/BehaviorTree","2"
"broken import path ./runtime-mode.js","2"
"broken import path ./badge-proof.js","2"
"broken import path ./tools/recall-context.js","2"
"broken import path ../buffers/buffer.pool","2"
"broken import path ../lib/utils","2"
"broken import path ../lib/session-store.js","2"
"broken import path ./VerifiedAgentVM","2"
"broken import path ./ward.js","2"
"broken import path ./worker.js","2"
